Date,Adj Close_CELLO.NS,Close_CELLO.NS,High_CELLO.NS,Low_CELLO.NS,Open_CELLO.NS,Volume_CELLO.NS,Date
2023-11-06,788.3326416015625,789.5999755859375,837.4000244140625,772.0,829.0,24831979,2023-11-06
2023-11-13,783.9397583007812,785.2000122070312,798.9000244140625,780.25,794.9500122070312,2457573,2023-11-13
2023-11-20,779.8463134765625,781.0999755859375,798.0,767.1500244140625,785.9000244140625,1990198,2023-11-20
2023-11-27,794.3729858398438,795.6500244140625,828.9000244140625,772.2999877929688,781.0999755859375,4971495,2023-11-27
2023-12-04,812.094482421875,813.4000244140625,824.25,775.0,801.0,3126877,2023-12-04
2023-12-11,790.1796875,791.4500122070312,817.4000244140625,778.0999755859375,817.0499877929688,1684587,2023-12-11
2023-12-18,767.9653930664062,769.2000122070312,807.9500122070312,748.5499877929688,790.25,1159375,2023-12-18
2023-12-25,785.8865966796875,787.1500244140625,796.9000244140625,762.75,769.2000122070312,1059589,2023-12-25
2024-01-01,855.8740844726562,857.25,881.9500122070312,785.25,795.0499877929688,4565587,2024-01-01
2024-01-08,899.1045532226562,900.5499877929688,920.0,850.3499755859375,857.7999877929688,2555081,2024-01-08
2024-01-15,866.0078125,867.4000244140625,907.0,857.0499877929688,900.5499877929688,585914,2024-01-15
2024-01-22,837.5036010742188,838.8499755859375,885.0,828.4000244140625,867.4000244140625,598534,2024-01-22
2024-01-29,860.416748046875,861.7999877929688,886.0,819.5999755859375,837.0,3529350,2024-01-29
2024-02-05,843.1944580078125,844.5499877929688,889.25,835.0,865.0499877929688,1658303,2024-02-05
2024-02-12,830.5648193359375,831.9000244140625,849.0,800.0,828.0,1819658,2024-02-12
2024-02-19,836.35546875,837.7000122070312,842.0,795.0,831.0,2881178,2024-02-19
2024-02-26,825.7225341796875,827.0499877929688,888.2999877929688,823.0,837.7000122070312,3067159,2024-02-26
2024-03-04,803.208740234375,804.5,850.0,799.0,848.5,1025214,2024-03-04
2024-03-11,747.7479248046875,748.9500122070312,814.9500122070312,711.2000122070312,813.0,2250835,2024-03-11
2024-03-18,784.7384643554688,786.0,799.0,740.4000244140625,752.0,2192949,2024-03-18
2024-03-25,772.7576904296875,774.0,785.8499755859375,756.0999755859375,785.0,697909,2024-03-25
2024-04-01,820.6307373046875,821.9500122070312,826.0,774.0499877929688,774.9500122070312,749356,2024-04-01
2024-04-08,832.661376953125,834.0,842.5999755859375,808.0,830.0,716249,2024-04-08
2024-04-15,851.4811401367188,852.8499755859375,887.7000122070312,802.25,829.3499755859375,1260626,2024-04-15
2024-04-22,929.3060302734375,930.7999877929688,963.7999877929688,853.2999877929688,866.0,3809799,2024-04-22
2024-04-29,909.43798828125,910.9000244140625,938.8499755859375,896.2999877929688,934.0,932354,2024-04-29
2024-05-06,870.8001098632812,872.2000122070312,942.9000244140625,862.0,922.25,1017375,2024-05-06
2024-05-13,941.3866577148438,942.9000244140625,957.0,860.5499877929688,887.9500122070312,980761,2024-05-13
2024-05-20,917.9243774414062,919.4000244140625,945.0,909.75,942.9000244140625,967205,2024-05-20
2024-05-27,845.3909301757812,846.75,920.0,838.0,919.9500122070312,1474207,2024-05-27
2024-06-03,845.04150390625,846.4000244140625,899.0,793.0999755859375,899.0,1366505,2024-06-03
2024-06-10,872.796875,874.2000122070312,904.9000244140625,847.0,849.9500122070312,1062267,2024-06-10
2024-06-17,907.34130859375,908.7999877929688,925.0,874.2000122070312,874.2000122070312,3767591,2024-06-17
2024-06-24,879.036865234375,880.4500122070312,922.75,875.4000244140625,904.9500122070312,552413,2024-06-24
2024-07-01,967.8441162109375,969.4000244140625,1025.0,874.5999755859375,884.9500122070312,3614407,2024-07-01
2024-07-08,977.778076171875,979.3499755859375,992.5,945.4500122070312,965.0,891468,2024-07-08
2024-07-15,939.0403442382812,940.5499877929688,1014.3499755859375,936.0999755859375,989.4500122070312,1011671,2024-07-15
2024-07-22,964.7490234375,966.2999877929688,978.9500122070312,921.5499877929688,941.9500122070312,577829,2024-07-22
2024-07-29,949.7232055664062,951.25,980.0,925.25,980.0,834361,2024-07-29
2024-08-05,920.5499877929688,920.5499877929688,941.4500122070312,904.0,911.5999755859375,393714,2024-08-05
2024-08-12,879.5,879.5,921.0,870.6500244140625,915.5499877929688,2285481,2024-08-12
2024-08-19,911.8499755859375,911.8499755859375,927.5999755859375,876.0,880.0,661902,2024-08-19
2024-08-26,903.25,903.25,921.5499877929688,868.9000244140625,918.4000244140625,547653,2024-08-26
2024-09-02,895.9500122070312,895.9500122070312,915.3499755859375,885.6500244140625,905.5,373420,2024-09-02
2024-09-09,916.0,916.0,927.0,880.0999755859375,899.0,563695,2024-09-09
2024-09-16,875.6500244140625,875.6500244140625,924.9500122070312,865.0,924.9500122070312,639478,2024-09-16
2024-09-23,880.5499877929688,880.5499877929688,897.9500122070312,865.8499755859375,875.9500122070312,613513,2024-09-23
2024-09-30,892.75,892.75,922.4000244140625,868.0,870.0,578682,2024-09-30
2024-10-07,885.5,885.5,900.0,864.0,893.0499877929688,352030,2024-10-07
2024-10-14,869.7000122070312,869.7000122070312,899.0,861.0499877929688,894.0,249985,2024-10-14
2024-10-21,825.25,825.25,872.4000244140625,802.0499877929688,870.0,512802,2024-10-21
2024-10-28,833.9500122070312,833.9500122070312,845.0,799.5499877929688,827.8499755859375,484257,2024-10-28
2024-11-04,861.2000122070312,861.2000122070312,870.1500244140625,813.75,833.9500122070312,326611,2024-11-04
2024-11-11,806.7999877929688,806.7999877929688,861.2000122070312,795.0,860.0,432599,2024-11-11
2024-11-18,744.75,744.75,809.0999755859375,733.2000122070312,806.9000244140625,747413,2024-11-18
2024-11-25,790.1500244140625,790.1500244140625,797.0,734.5,751.0499877929688,1358342,2024-11-25
2024-12-02,839.4500122070312,839.4500122070312,848.0,788.4500122070312,804.0,709174,2024-12-02
2024-12-09,830.1500244140625,830.1500244140625,860.8499755859375,817.75,839.0499877929688,1121275,2024-12-09
2024-12-16,775.6500244140625,775.6500244140625,834.9000244140625,765.1500244140625,822.5499877929688,828064,2024-12-16
2024-12-23,755.2000122070312,755.2000122070312,787.2999877929688,747.0499877929688,787.2999877929688,483842,2024-12-23
2024-12-30,769.9000244140625,769.9000244140625,780.0,735.0499877929688,753.0,529437,2024-12-30
2025-01-06,708.3499755859375,708.3499755859375,782.0,697.2999877929688,782.0,782588,2025-01-06
2025-01-13,673.7000122070312,673.7000122070312,709.8499755859375,665.0,707.9500122070312,1354952,2025-01-13
2025-01-20,644.9000244140625,644.9000244140625,686.25,640.0999755859375,679.0,803738,2025-01-20
2025-01-27,641.2000122070312,641.2000122070312,658.0,615.75,650.0,949608,2025-01-27
2025-02-03,644.5499877929688,644.5499877929688,675.0,630.0499877929688,637.7000122070312,1569833,2025-02-03
2025-02-10,612.1500244140625,612.1500244140625,648.0999755859375,596.0,644.0,550485,2025-02-10
2025-02-17,599.0499877929688,599.0499877929688,629.9000244140625,591.75,617.9000244140625,755813,2025-02-17
2025-02-24,553.9000244140625,553.9000244140625,597.0,550.0499877929688,587.0,759660,2025-02-24
2025-03-03,550.3499755859375,550.3499755859375,582.0,523.9500122070312,561.0499877929688,1562881,2025-03-03
2025-03-10,537.5499877929688,537.5499877929688,558.0999755859375,527.2000122070312,551.4000244140625,785381,2025-03-10
2025-03-17,577.9000244140625,577.9000244140625,597.9500122070312,532.5,538.0,2789422,2025-03-17
2025-03-24,546.25,546.25,589.9000244140625,538.8499755859375,587.0,2366687,2025-03-24
2025-03-31,532.5,532.5,555.5,525.0,546.25,544720,2025-03-31
2025-04-07,523.75,523.75,537.6500244140625,494.75,499.0,2363445,2025-04-07
2025-04-14,590.9500122070312,590.9500122070312,603.4500122070312,526.0,530.0,1557826,2025-04-14
2025-04-21,563.0499877929688,563.0499877929688,598.0,558.0,598.0,819640,2025-04-21
2025-04-28,541.5,541.5,565.9500122070312,540.4500122070312,563.0499877929688,346190,2025-04-28
2025-05-05,534.3499755859375,534.3499755859375,580.7999877929688,527.0,539.0,748646,2025-05-05
2025-05-12,600.2000122070312,600.2000122070312,607.0,549.6500244140625,557.0,727751,2025-05-12
2025-05-19,614.2999877929688,614.2999877929688,634.4500122070312,594.8499755859375,602.0499877929688,943124,2025-05-19
2025-05-26,616.0499877929688,616.0499877929688,648.0,607.2000122070312,620.0,1055565,2025-05-26
2025-06-02,610.9000244140625,610.9000244140625,629.1500244140625,591.5999755859375,616.0499877929688,623138,2025-06-02
2025-06-09,600.4500122070312,600.4500122070312,631.0,591.5499877929688,616.0499877929688,419420,2025-06-09
2025-06-16,571.25,571.25,611.7999877929688,566.6500244140625,600.0,700939,2025-06-16
2025-06-23,601.6500244140625,601.6500244140625,614.0999755859375,564.0,565.0,1004829,2025-06-23
2025-06-30,641.4000244140625,641.4000244140625,655.0,594.0,605.0,1469801,2025-06-30
2025-07-07,625.6500244140625,625.6500244140625,651.25,623.0499877929688,641.4000244140625,517265,2025-07-07
2025-07-14,638.4000244140625,638.4000244140625,643.0,623.2999877929688,625.7000122070312,220859,2025-07-14
