Date,Adj Close_SAHYADRI.NS,Close_SAHYADRI.NS,High_SAHYADRI.NS,Low_SAHYADRI.NS,Open_SAHYADRI.NS,Volume_SAHYADRI.NS,Date
2023-04-03,358.9381408691406,361.1499938964844,378.0,348.45001220703125,348.45001220703125,3174,2023-04-03
2023-04-10,374.0947265625,376.3999938964844,390.0,355.0,361.6499938964844,21432,2023-04-10
2023-04-17,366.78973388671875,369.04998779296875,390.0,340.1000061035156,379.29998779296875,21181,2023-04-17
2023-04-24,360.9258728027344,363.1499938964844,380.0,345.6000061035156,369.04998779296875,10675,2023-04-24
2023-05-01,372.8523864746094,375.1499938964844,380.0,347.0,363.1499938964844,16496,2023-05-01
2023-05-08,370.3179931640625,372.6000061035156,378.70001220703125,355.54998779296875,373.1000061035156,28770,2023-05-08
2023-05-15,367.634521484375,369.8999938964844,377.0,360.20001220703125,371.54998779296875,43253,2023-05-15
2023-05-22,338.8121643066406,340.8999938964844,373.8999938964844,334.8500061035156,365.3999938964844,47147,2023-05-22
2023-05-29,340.7998962402344,342.8999938964844,350.0,322.25,348.45001220703125,34915,2023-05-29
2023-06-05,413.40252685546875,415.95001220703125,425.04998779296875,335.0,346.6000061035156,123333,2023-06-05
2023-06-12,407.4889221191406,410.0,427.6000061035156,397.54998779296875,420.0,122602,2023-06-12
2023-06-19,387.3132629394531,389.70001220703125,411.8500061035156,385.0,399.0,37237,2023-06-19
2023-06-26,378.4677734375,380.79998779296875,395.45001220703125,378.0,382.6000061035156,13756,2023-06-26
2023-07-03,375.48614501953125,377.79998779296875,385.0,352.79998779296875,382.0,45352,2023-07-03
2023-07-10,366.29278564453125,368.54998779296875,388.95001220703125,361.1000061035156,388.95001220703125,27003,2023-07-10
2023-07-17,416.18536376953125,418.75,435.0,360.20001220703125,368.95001220703125,183963,2023-07-17
2023-07-24,397.8980712890625,400.3500061035156,429.29998779296875,393.8999938964844,411.04998779296875,58528,2023-07-24
2023-07-31,400.38275146484375,402.8500061035156,428.54998779296875,399.3500061035156,400.3500061035156,56894,2023-07-31
2023-08-07,430.9659118652344,432.04998779296875,463.45001220703125,405.0,405.0,373826,2023-08-07
2023-08-14,411.0660095214844,412.1000061035156,438.0,404.04998779296875,438.0,55071,2023-08-14
2023-08-21,427.4248352050781,428.5,438.3500061035156,409.54998779296875,412.0,54624,2023-08-21
2023-08-28,420.0434265136719,421.1000061035156,438.45001220703125,417.79998779296875,430.3999938964844,33308,2023-08-28
2023-09-04,465.229736328125,466.3999938964844,482.25,420.0,438.75,210190,2023-09-04
2023-09-11,447.57415771484375,448.70001220703125,484.1000061035156,419.54998779296875,472.0,73984,2023-09-11
2023-09-18,424.5321350097656,425.6000061035156,447.3999938964844,420.04998779296875,441.95001220703125,28846,2023-09-18
2023-09-25,438.89599609375,440.0,452.0,412.8999938964844,426.1499938964844,40441,2023-09-25
2023-10-02,424.6318664550781,425.70001220703125,453.5,422.3999938964844,440.0,20663,2023-10-02
2023-10-09,424.7315979003906,425.79998779296875,438.0,406.75,429.8999938964844,50181,2023-10-09
2023-10-16,408.3229064941406,409.3500061035156,429.0,404.95001220703125,424.04998779296875,43972,2023-10-16
2023-10-23,402.58734130859375,403.6000061035156,415.0,370.0,407.79998779296875,39722,2023-10-23
2023-10-30,400.7419738769531,401.75,415.0,393.6499938964844,403.6000061035156,14914,2023-10-30
2023-11-06,369.2711486816406,370.20001220703125,395.0,364.25,389.8999938964844,48794,2023-11-06
2023-11-13,365.5804138183594,366.5,380.3999938964844,361.0,379.29998779296875,21811,2023-11-13
2023-11-20,402.1384582519531,403.1499938964844,455.1499938964844,363.0,369.0,145155,2023-11-20
2023-11-27,388.92169189453125,389.8999938964844,406.1000061035156,381.0,403.1499938964844,30578,2023-11-27
2023-12-04,416.5023193359375,417.54998779296875,421.0,382.1000061035156,395.75,96141,2023-12-04
2023-12-11,423.1855163574219,424.25,429.79998779296875,407.20001220703125,413.0,94793,2023-12-11
2023-12-18,409.4201354980469,410.45001220703125,434.0,392.0,426.3999938964844,92147,2023-12-18
2023-12-25,404.68206787109375,405.70001220703125,423.0,399.70001220703125,410.45001220703125,31245,2023-12-25
2024-01-01,415.25543212890625,416.29998779296875,421.5,401.20001220703125,413.75,51968,2024-01-01
2024-01-08,408.62213134765625,409.6499938964844,422.95001220703125,403.0,418.3999938964844,42460,2024-01-08
2024-01-15,390.5176696777344,391.5,410.45001220703125,390.54998779296875,409.6499938964844,34302,2024-01-15
2024-01-22,412.8614807128906,413.8999938964844,416.0,383.04998779296875,391.5,24899,2024-01-22
2024-01-29,422.0882568359375,423.1499938964844,448.8999938964844,410.0,417.29998779296875,93810,2024-01-29
2024-02-05,425.0308837890625,426.1000061035156,463.0,415.54998779296875,425.04998779296875,107424,2024-02-05
2024-02-12,408.572265625,409.6000061035156,428.20001220703125,389.3500061035156,419.70001220703125,57931,2024-02-12
2024-02-19,417.94866943359375,419.0,431.8999938964844,395.45001220703125,409.79998779296875,56766,2024-02-19
2024-02-26,415.5547180175781,416.6000061035156,435.8999938964844,405.04998779296875,425.0,43752,2024-02-26
2024-03-04,384.98162841796875,385.95001220703125,413.95001220703125,383.79998779296875,406.29998779296875,34076,2024-03-04
2024-03-11,360.3934326171875,361.29998779296875,389.95001220703125,325.04998779296875,381.20001220703125,90210,2024-03-11
2024-03-18,358.3984680175781,359.29998779296875,370.0,349.8500061035156,355.1000061035156,46581,2024-03-18
2024-03-25,339.69549560546875,340.54998779296875,365.5,340.0,359.29998779296875,56499,2024-03-25
2024-04-01,370.4182434082031,371.3500061035156,393.8999938964844,342.29998779296875,342.29998779296875,45143,2024-04-01
2024-04-08,361.690185546875,362.6000061035156,385.0,360.0,370.0,19818,2024-04-08
2024-04-15,354.009521484375,354.8999938964844,385.0,352.6000061035156,362.6000061035156,16372,2024-04-15
2024-04-22,361.0418395996094,361.95001220703125,371.54998779296875,356.79998779296875,356.79998779296875,23372,2024-04-22
2024-04-29,362.2388000488281,363.1499938964844,371.1499938964844,353.0,360.04998779296875,37256,2024-04-29
2024-05-06,362.1889343261719,363.1000061035156,389.45001220703125,356.5,370.29998779296875,76391,2024-05-06
2024-05-13,372.36334228515625,373.29998779296875,375.75,348.3999938964844,363.1000061035156,25867,2024-05-13
2024-05-20,359.8448486328125,360.75,385.0,357.8999938964844,357.8999938964844,27447,2024-05-20
2024-05-27,371.1164855957031,372.04998779296875,392.95001220703125,333.75,360.0,167528,2024-05-27
2024-06-03,373.36083984375,374.29998779296875,382.45001220703125,352.8500061035156,372.04998779296875,85769,2024-06-03
2024-06-10,433.7090148925781,434.79998779296875,450.0,385.0,385.0,220520,2024-06-10
2024-06-17,427.7240905761719,428.79998779296875,442.75,412.79998779296875,434.79998779296875,51730,2024-06-17
2024-06-24,424.781494140625,425.8500061035156,450.0,418.20001220703125,426.45001220703125,61950,2024-06-24
2024-07-01,429.0208435058594,430.1000061035156,437.25,416.8500061035156,423.0,35767,2024-07-01
2024-07-08,417.84893798828125,418.8999938964844,443.0,408.1000061035156,430.20001220703125,35603,2024-07-08
2024-07-15,386.1785888671875,387.1499938964844,419.04998779296875,385.20001220703125,419.04998779296875,33984,2024-07-15
2024-07-22,394.7071533203125,395.70001220703125,417.20001220703125,383.0,387.0,34932,2024-07-22
2024-07-29,398.8966064453125,399.8999938964844,409.0,391.0,393.1000061035156,47635,2024-07-29
2024-08-05,372.75,372.75,425.0,367.0,398.0,68322,2024-08-05
2024-08-12,349.54998779296875,349.54998779296875,375.0,339.75,373.0,63685,2024-08-12
2024-08-19,359.8500061035156,359.8500061035156,373.0,349.20001220703125,351.25,201271,2024-08-19
2024-08-26,350.75,350.75,374.0,347.95001220703125,374.0,125715,2024-08-26
2024-09-02,351.5,351.5,355.0,343.0,354.20001220703125,95086,2024-09-02
2024-09-09,350.20001220703125,350.20001220703125,355.3999938964844,335.0,353.3999938964844,95366,2024-09-09
2024-09-16,351.25,351.25,385.20001220703125,337.79998779296875,352.0,150584,2024-09-16
2024-09-23,346.8500061035156,346.8500061035156,363.0,340.0,350.0,46484,2024-09-23
2024-09-30,346.95001220703125,346.95001220703125,371.29998779296875,343.0,348.70001220703125,58500,2024-09-30
2024-10-07,344.95001220703125,344.95001220703125,357.70001220703125,331.04998779296875,357.0,49475,2024-10-07
2024-10-14,338.54998779296875,338.54998779296875,350.3999938964844,332.0,346.79998779296875,43941,2024-10-14
2024-10-21,326.3999938964844,326.3999938964844,344.95001220703125,322.04998779296875,335.79998779296875,34702,2024-10-21
2024-10-28,349.1499938964844,349.1499938964844,355.0,320.04998779296875,326.54998779296875,25227,2024-10-28
2024-11-04,339.70001220703125,339.70001220703125,356.0,336.0,355.95001220703125,39125,2024-11-04
2024-11-11,308.45001220703125,308.45001220703125,334.04998779296875,299.8500061035156,334.04998779296875,107601,2024-11-11
2024-11-18,308.79998779296875,308.79998779296875,312.79998779296875,303.54998779296875,307.5,24149,2024-11-18
2024-11-25,316.5,316.5,328.0,298.0,314.3999938964844,28979,2024-11-25
2024-12-02,332.25,332.25,338.79998779296875,306.04998779296875,316.0,28214,2024-12-02
2024-12-09,330.20001220703125,330.20001220703125,339.6000061035156,318.20001220703125,332.25,28514,2024-12-09
2024-12-16,315.0,315.0,335.0,308.0,331.8999938964844,23419,2024-12-16
2024-12-23,314.45001220703125,314.45001220703125,324.8500061035156,312.0,312.1000061035156,16738,2024-12-23
2024-12-30,320.5,320.5,325.04998779296875,302.5,315.3999938964844,36776,2024-12-30
2025-01-06,305.3999938964844,305.3999938964844,328.54998779296875,305.0,322.20001220703125,29596,2025-01-06
2025-01-13,301.5,301.5,311.6499938964844,292.29998779296875,305.3500061035156,34876,2025-01-13
2025-01-20,306.3999938964844,306.3999938964844,321.95001220703125,300.79998779296875,313.95001220703125,20959,2025-01-20
2025-01-27,311.6499938964844,311.6499938964844,315.3999938964844,293.0,307.95001220703125,26291,2025-01-27
2025-02-03,295.6000061035156,295.6000061035156,317.1000061035156,293.1000061035156,311.6499938964844,29807,2025-02-03
2025-02-10,241.4499969482422,241.4499969482422,294.79998779296875,239.9499969482422,294.79998779296875,77194,2025-02-10
2025-02-17,245.10000610351562,245.10000610351562,253.60000610351562,225.0500030517578,234.3000030517578,35868,2025-02-17
2025-02-24,232.10000610351562,232.10000610351562,253.4499969482422,230.60000610351562,237.75,31385,2025-02-24
2025-03-03,248.94000244140625,248.94000244140625,254.74000549316406,211.0,234.0,92591,2025-03-03
2025-03-10,247.00999450683594,247.00999450683594,259.25,243.58999633789062,253.85000610351562,39780,2025-03-10
2025-03-17,246.16000366210938,246.16000366210938,251.50999450683594,227.0,250.7100067138672,72640,2025-03-17
2025-03-24,215.77000427246094,215.77000427246094,254.39999389648438,211.0,246.16000366210938,125282,2025-03-24
2025-03-31,236.94000244140625,236.94000244140625,245.85000610351562,214.0,215.77000427246094,33941,2025-03-31
2025-04-07,250.72000122070312,250.72000122070312,257.57000732421875,220.10000610351562,231.5500030517578,31714,2025-04-07
2025-04-14,263.6700134277344,263.6700134277344,279.0,244.13999938964844,251.92999267578125,32484,2025-04-14
2025-04-21,269.9599914550781,269.9599914550781,293.9800109863281,261.3599853515625,263.0,20706,2025-04-21
2025-04-28,263.0,263.0,279.8999938964844,261.6099853515625,269.9599914550781,20348,2025-04-28
2025-05-05,269.8500061035156,269.8500061035156,273.5,253.10000610351562,253.10000610351562,36175,2025-05-05
2025-05-12,285.04998779296875,285.04998779296875,290.0,267.0,289.8999938964844,34059,2025-05-12
2025-05-19,296.6499938964844,296.6499938964844,304.0,271.1000061035156,279.75,59233,2025-05-19
2025-05-26,290.8500061035156,290.8500061035156,306.0,281.0,299.6000061035156,46167,2025-05-26
2025-06-02,294.6499938964844,294.6499938964844,303.0,287.20001220703125,291.8500061035156,25448,2025-06-02
2025-06-09,313.5,313.5,330.0,294.29998779296875,299.0,85949,2025-06-09
2025-06-16,302.6499938964844,302.6499938964844,322.8500061035156,300.20001220703125,314.04998779296875,21125,2025-06-16
2025-06-23,314.6499938964844,314.6499938964844,319.5,296.25,302.1000061035156,32869,2025-06-23
2025-06-30,306.20001220703125,306.20001220703125,322.8999938964844,299.54998779296875,317.70001220703125,40461,2025-06-30
2025-07-07,300.0,300.0,317.95001220703125,298.79998779296875,317.95001220703125,11085,2025-07-07
2025-07-14,303.6000061035156,303.6000061035156,307.6499938964844,297.6000061035156,305.95001220703125,7848,2025-07-14
