Date,Adj Close_SANOFICONR.NS,Close_SANOFICONR.NS,High_SANOFICONR.NS,Low_SANOFICONR.NS,Open_SANOFICONR.NS,Volume_SANOFICONR.NS,Date
2024-09-09,4849.40771484375,4903.5,4903.5,4600.0,4670.0,36959,2024-09-09
2024-09-16,5056.1025390625,5112.5,5375.0,4901.0,5148.64990234375,481175,2024-09-16
2024-09-23,5047.15234375,5103.4501953125,5300.10009765625,4875.0,4933.0,226917,2024-09-23
2024-09-30,4932.77783203125,4987.7998046875,5137.39990234375,4900.0,5103.4501953125,107871,2024-09-30
2024-10-07,4847.9736328125,4902.0498046875,5180.0,4211.5498046875,4931.0,148246,2024-10-07
2024-10-14,4770.5869140625,4823.7998046875,5040.0,4615.0,4903.0,61027,2024-10-14
2024-10-21,4698.19482421875,4750.60009765625,4920.9501953125,4602.60009765625,4872.0498046875,72416,2024-10-21
2024-10-28,4879.0771484375,4933.5,4962.39990234375,4684.0,4774.9501953125,21654,2024-10-28
2024-11-04,4852.6220703125,4906.75,4953.5,4801.0,4950.0,88594,2024-11-04
2024-11-11,4765.09814453125,4818.25,4940.0,4790.0498046875,4868.7001953125,73360,2024-11-11
2024-11-18,4736.91259765625,4789.75,4899.0,4702.64990234375,4899.0,104550,2024-11-18
2024-11-25,4772.16943359375,4825.39990234375,4854.7998046875,4747.2998046875,4800.0,187715,2024-11-25
2024-12-02,4748.18701171875,4801.14990234375,4847.9501953125,4761.0498046875,4815.0,47128,2024-12-02
2024-12-09,4768.46044921875,4821.64990234375,4920.14990234375,4784.0498046875,4791.35009765625,70676,2024-12-09
2024-12-16,4756.791015625,4809.85009765625,4880.0,4785.10009765625,4801.0498046875,73561,2024-12-16
2024-12-23,4828.14501953125,4882.0,4911.60009765625,4569.0498046875,4811.7001953125,147935,2024-12-23
2024-12-30,4855.63818359375,4909.7998046875,5030.85009765625,4849.7998046875,4883.0,97600,2024-12-30
2025-01-06,4814.3984375,4868.10009765625,4939.2001953125,4826.0,4915.0,48516,2025-01-06
2025-01-13,4796.59716796875,4850.10009765625,4910.0,4801.0498046875,4801.0498046875,62366,2025-01-13
2025-01-20,4679.552734375,4731.75,4914.0,4712.0498046875,4833.14990234375,48029,2025-01-20
2025-01-27,4712.13916015625,4764.7001953125,4798.9501953125,4537.4501953125,4711.64990234375,75146,2025-01-27
2025-02-03,4650.87255859375,4702.75,4814.89990234375,4692.0,4702.0,14910,2025-02-03
2025-02-10,4654.87744140625,4706.7998046875,4910.0,4645.0498046875,4702.75,68106,2025-02-10
2025-02-17,4605.923828125,4657.2998046875,4794.0,4610.0,4706.7998046875,46264,2025-02-17
2025-02-24,4502.1806640625,4552.39990234375,4679.64990234375,4550.0,4651.0498046875,90470,2025-02-24
2025-03-03,4769.6474609375,4822.85009765625,4880.0,4551.0,4551.0,68628,2025-03-03
2025-03-10,4823.744140625,4877.5498046875,4899.2001953125,4798.75,4822.85009765625,47748,2025-03-10
2025-03-17,4644.88916015625,4696.7001953125,4898.7001953125,4630.0,4884.60009765625,553458,2025-03-17
2025-03-24,4773.50439453125,4826.75,4849.0,4709.4501953125,4740.0,98404,2025-03-24
2025-03-31,4738.14892578125,4791.0,4847.0,4740.0498046875,4826.75,25989,2025-03-31
2025-04-07,4888.669921875,4943.2001953125,4979.0,4656.0498046875,4656.0498046875,147017,2025-04-07
2025-04-14,4883.72509765625,4938.2001953125,4988.0,4905.10009765625,4969.0,61637,2025-04-14
2025-04-21,4939.0,4939.0,4974.89990234375,4926.7998046875,4931.10009765625,68429,2025-04-21
2025-04-28,4939.60009765625,4939.60009765625,4973.89990234375,4928.10009765625,4939.0,84942,2025-04-28
2025-05-05,4887.2998046875,4887.2998046875,4979.0,4798.89990234375,4940.10009765625,70022,2025-05-05
2025-05-12,5004.7001953125,5004.7001953125,5090.0,4790.0,4790.0,26912,2025-05-12
2025-05-19,5009.7998046875,5009.7998046875,5244.0,4948.7998046875,5069.7998046875,16389,2025-05-19
2025-05-26,5268.60009765625,5268.60009765625,5354.39990234375,4914.5,5010.0,28049,2025-05-26
2025-06-02,5038.0,5038.0,5520.0,5010.0,5268.5,22044,2025-06-02
2025-06-09,5056.0,5056.0,5226.0,4987.0,5094.5,12261,2025-06-09
2025-06-16,5055.0,5055.0,5139.0,4938.0,5056.0,14156,2025-06-16
2025-06-23,5013.0,5013.0,5236.5,4935.0,5030.0,14637,2025-06-23
2025-06-30,5371.5,5371.5,5894.5,5019.0,5024.5,174924,2025-06-30
2025-07-07,5183.5,5183.5,5448.5,5061.0,5340.0,40185,2025-07-07
2025-07-14,5124.5,5124.5,5251.5,5090.0,5213.0,16160,2025-07-14
